"","X","id","valence_mean","valence_std","arousal_mean","arousal_std","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","Radius","Angle","Emotion"
"1",1,2,-0.475,0.94,-0.5,0.63,0.0381244263266358,0.0242123544564657,0.130362326120556,0.105375142967543,-47.247029613086,5.20131403297269,-0.185013528593509,1.36018924574961,0.14248634672849,0.791018115919629,-0.142830105873261,0.278357548171046,0.123529352138073,-0.0531536339515714,0.417538010303967,-0.252988923493045,-0.0243684770736734,0.000532571354971664,0.000471961360123648,0.000449636785162287,0.000496584234930448,0.000545979649665121,0.00059826429675425,0.0006479152498712,0.000691449768160742,0.000694672333848532,0.000657267387944359,0.000614586038124678,0.00057887351880474,1.30855982122617,1.92757035935085,0.0144520860381247,0.00966399665121072,0.112395795466255,0.0553177083977331,1.27936751983514,0.868839728748068,0.670929992529624,0.667475194744977,0.60295891241628,0.577319035291087,0.562174804739825,0.538482161257084,0.536751776661515,0.518419776403915,0.515429043276662,0.500347575734158,0.452559504636785,0.000327936630602782,0.000299329984544049,0.000298317877382792,0.000338201442555384,0.00037262467800103,0.000404978619268418,0.000432074446161772,0.000453744719216899,0.000450496908809892,0.00041788124678001,0.000383348531684699,0.000354882534775889,0.14403834698609,0.487577669242658,0.689655711206686,226.468800714386,"Sleepy"
"2",2,3,-0.375,1.75,-0.425,1.62,0.0152263204434133,0.00881588888888889,0.62509763547306,0.100929932714617,-52.9307535349317,5.57193401185873,0.238588155710235,1.31956367388502,0.417788985821088,1.29762995926785,0.580189160608404,0.812453613817994,0.577846395720547,0.26087656767208,0.0158127455529776,0.177085309873679,0.346109979118329,0.00109556045372519,0.0010151557102346,0.000985268883732921,0.00107846738850219,0.00115942923433875,0.00122705207527713,0.00127265248775458,0.00128793426140758,0.00128062361433359,0.00127167001804589,0.00123230007733952,0.0011701569992266,1.13260415364785,1.4175154024233,0.00885067775199794,0.00474351379221449,0.3136872258314,0.0602606053106471,1.6468760154679,0.910158651972158,0.59641101778809,0.501988533642691,0.510091193348801,0.487834679556587,0.448512103377159,0.457606085331271,0.447782521526167,0.447476667955659,0.413607525393143,0.405100615364785,0.402321884248518,0.000689705078628513,0.000648404227893787,0.000633126321216808,0.000678895591647332,0.000720236401134313,0.00075405774684197,0.000775947666924465,0.000780695797886053,0.000775706367620521,0.00077609847898943,0.000758535705078628,0.000727804073214746,0.0785621667955659,0.266590410415055,0.566789202437732,228.576334374997,"Sleepy"
"3",3,4,0.175,1.42,0.125,1.63,0.0390008955916473,0.0251117001804589,0.12972606934777,0.107193721319928,-45.3297167906677,5.24354336530033,-0.87568773060067,2.22807826501676,1.11486751044084,0.40045564037123,-0.00666079994844032,-0.122599611497809,-0.313058999226605,0.202104155194638,0.2898596934777,-0.0830654934261408,-0.116560016756896,0.00198128280484661,0.00179000283578242,0.00177312116524878,0.00191851482340809,0.00204409254962619,0.00219750451147203,0.00232991209074504,0.00241794663573086,0.00233574684196958,0.00224359474091261,0.00220267362722351,0.00210848234080949,1.34340684274298,2.03013821861304,0.0165816460427945,0.0118606336684713,0.176353432070121,0.0589661443671049,1.94045016885795,0.849640782160351,0.659264784222738,0.617972640113431,0.603100274555298,0.597097444186646,0.582319977055942,0.559711455529776,0.522911148491879,0.524911018045888,0.522100357308585,0.510300706883217,0.487980125032225,0.00144142846094354,0.00131219386439804,0.00128581412735241,0.0014234689352926,0.00154474297499356,0.00166095901005414,0.00174603609177623,0.0017895155968033,0.00177108404227894,0.00173127455529776,0.0016674846609951,0.00156142871874194,0.225822148749678,0.812628579788605,0.215058131676066,35.5376777919744,"Pleased"
"4",4,5,-0.15,2.01,0.075,1.85,0.037930807424594,0.0272987110079917,0.0471451642175819,0.101792659963908,-46.023841941222,6.60374167904099,0.84662400154679,1.32097907630833,-0.342304713585976,0.381730229698376,0.153635349574633,0.148962647847383,-0.0967284539829853,0.258806652745553,0.0542550141789121,0.303239175045115,0.102424350863625,0.000862205723124517,0.000947600928074246,0.00101374065480794,0.0010924996133024,0.00111821010569734,0.0011223750966744,0.0011358430007734,0.00115800696055684,0.00111943542150039,0.00103051172982728,0.000947778551172983,0.000865494715132766,1.41431820134055,2.34685005027069,0.0146911340551689,0.00964280742459397,0.0278587628254705,0.0548525810775973,1.66506557308585,0.936762937612787,0.69863042742975,0.649866579788605,0.582865459138953,0.556097380768239,0.550885259087394,0.53540425006445,0.527356231760763,0.508961249033256,0.469913773910802,0.44447172415571,0.4056946290281,0.000458481825212684,0.00052155787574117,0.000562108017530291,0.000609544212425883,0.00062527661768497,0.000620572054653261,0.000613985821087909,0.000620691673111627,0.000604145656096932,0.000537738334622325,0.000489375354472802,0.000449829595256509,0.199951944831142,0.91155075973189,0.167705098312484,153.434948822922,"Angry"
"5",5,7,0.2,1.47,0.35,1.69,0.0147058382277177,0.00961395826893354,0.696681253992787,0.107121148119526,-49.1629755224111,5.03578287815559,1.69373941782586,1.63750742194745,1.25149286269964,1.15305707753735,0.64268432509016,0.239389518547141,-0.026349936888202,0.150422631633179,0.183857945388975,0.265934857032458,0.231715537867079,0.00401226146316332,0.00355001880473982,0.00339862004121587,0.00390456156620299,0.00437040417310665,0.00478799639361154,0.00511713214837713,0.00529407573415765,0.00529716821226172,0.00516137506439979,0.00487036218444101,0.00446928928387429,1.18516415868109,1.6220890615662,0.0127944719216899,0.00692098995363215,0.394371891293148,0.0606196555899021,2.59302637738279,1.2012302503864,0.709348613343637,0.547675808088614,0.527099751674395,0.525297056671819,0.525328905718702,0.499533243173622,0.507168319165379,0.454927598660484,0.444006319165379,0.437666635754766,0.416139654301906,0.0022366991241628,0.00198588742916023,0.00189884312210201,0.00215715301391036,0.00241323647604328,0.00264975064399794,0.00283575965996909,0.00293612467800103,0.00294231195260175,0.00287478464708913,0.00271323055126224,0.00248879958784132,0.0790385917053065,0.29194650953117,0.403112887414928,60.2551187030576,"Happy"
"6",6,8,-0.45,1.4,-0.05,1.54,0.0256124739824833,0.0157159206594539,0.34800771561051,0.124914619010819,-56.4766110669758,7.80781714039155,3.23412645517774,1.42093601983514,1.02131503632148,0.57257022514168,0.312876237764039,0.107666505151984,0.0475582807831015,0.0884364611025245,-0.0324060358062854,-0.0488799587841319,-0.132849891035549,0.00116455435342607,0.00110169963936115,0.00108093096342092,0.0011558675940237,0.00122203194229778,0.0012926123132406,0.00136358655332303,0.00140549716640907,0.00139851571354972,0.00136161772282329,0.0012953114374034,0.00122710613086038,1.19996154559505,1.58548126043277,0.0246590110767646,0.0139136810922205,0.305031049201443,0.0770686607418856,3.87881298815044,2.00849269886656,1.04030791499227,0.687208204276146,0.524840730808861,0.463603882019578,0.410819795208655,0.432623279237506,0.380032367594024,0.37159014992272,0.36363628438949,0.352269879185987,0.337651328696548,0.00102890597630088,0.000987445904173107,0.000970258629572385,0.00101694899536321,0.00105383307573416,0.00108239799072643,0.00110137583719732,0.00110263317877383,0.00109346754250386,0.00109982277176713,0.00108677846470891,0.00106258268933539,0.110097680577022,0.372632044822257,0.452769256906871,186.34019174591,"Sad"
"7",7,10,-0.25,1.67,-0.075,1.85,0.0430965873261206,0.0317909763008758,0.116847431993818,0.105846017774343,-53.600356436373,7.10161602112313,-0.723113802679031,1.66607267671303,0.195057255280783,-0.00704986707882535,0.554811482740855,0.326182222050489,-0.100444834106131,0.19920030937661,0.347046015971149,-0.0776493706852138,0.0288710677485832,0.000212428902627512,0.000208226172076249,0.000221431736218444,0.000244191138588356,0.000273320195775374,0.000297861411643483,0.000268589129314786,0.00026326429675425,0.000245921432251417,0.00023026790314271,0.000225894641937146,0.000212198351365276,1.78908957083977,5.95044991705307,0.0190981414219474,0.0135738248325605,0.0911808140133952,0.0587800007727975,2.67777288845956,1.67407811669243,1.13519228954147,0.796039889747553,0.632668668212262,0.573875368366821,0.565157211746522,0.506695696032973,0.549695923493045,0.531152000257599,0.520709818392581,0.48595601880474,0.472148166151468,0.00018336810922205,0.000174931736218444,0.000182614374034003,0.00019993199381762,0.000222374806800618,0.000228911643482741,0.000219878928387429,0.000230135497166409,0.000211836682122617,0.000201486089644513,0.000200005151983514,0.000189111540443071,0.349654698608964,3.8042546254508,0.261007662722764,196.699244233993,"Sad"
"8",8,12,0.125,1.91,0.2,1.89,0.0480167691911386,0.0307370906749098,0.177959019577537,0.104075223080886,-46.0811074268418,5.00552854353426,1.79278909763009,1.68575844925296,0.755533972952087,0.386164655589902,0.368700988408037,0.357037186244204,0.156402286965482,0.365481840288511,0.0981769039155075,0.00644081401339516,0.00572207934054611,0.00250944693456981,0.00228930757341576,0.00226982045337455,0.00261929933024214,0.00289032045337455,0.00313481092220505,0.00337218624420402,0.00352022127769191,0.0034822627511592,0.00326731761978362,0.00302007006697579,0.0027585010303967,1.29334242632664,1.97234688356517,0.0269933536836682,0.0185785816589387,0.20834859994848,0.0561482794951056,2.77721747887687,1.28895878851108,0.678098685986605,0.606358270221535,0.555107683925811,0.540306056414219,0.499555892581144,0.489137312725399,0.487129073673364,0.491455876609995,0.468409098402885,0.45248705615662,0.436360980422463,0.00144028207109737,0.00130332869654817,0.00131751854714065,0.00155436038124678,0.00174221123132406,0.00191004817104585,0.00206490391550747,0.00217091035548686,0.00216143688820196,0.00202507831014941,0.00183266254507986,0.00162408552292633,0.123152066460587,0.513052821226172,0.235849528301415,57.9946167919163,"Pleased"
"9",9,13,-0.45,1.4,-0.25,1.67,0.0328405244719217,0.0221247578567749,0.195903716383308,0.0949964917568264,-49.1099007308089,6.09820585497166,1.06077494951056,1.59035743276662,-0.00171690855229263,0.866444315043792,0.334033924781041,0.355748286450283,0.315562619268418,0.198317342349304,-0.0541268523956723,0.105974847501288,0.173790155074704,0.000766969345698094,0.000730506955177743,0.000725292632663575,0.000831848531684699,0.000951135239567233,0.0010946609994848,0.00114885754765585,0.00112788408037094,0.00107991937145801,0.00100103142709943,0.000925306543019062,0.000825647861926842,1.36614196651211,2.21550277897991,0.0152189495105616,0.00954963678516229,0.141821233900052,0.0480995899021123,1.76118503863988,1.01654327485832,0.686090117722823,0.598542529366306,0.552649234930448,0.521128427357032,0.494592928387429,0.493479385883565,0.498081636012365,0.461550513137558,0.429643936373004,0.416726761205564,0.398643624162803,0.000362340288511077,0.000340443843379701,0.000343338742916023,0.000395129829984544,0.0004437923750644,0.000506430448222566,0.000533050489438434,0.000529586295723854,0.000513285419886656,0.000477816589386914,0.000444820195775374,0.000396738794435858,0.145907917310665,0.618546838742916,0.51478150704935,209.054604099077,"Sad"
"10",10,17,-0.15,1.8,0.25,2.05,0.0411138098918083,0.0262811156620299,0.111263996136012,0.104844254507986,-43.9736915342607,4.79408556053581,0.549733105100464,1.2385238438949,0.254113272282329,0.872933891550747,0.510573402369912,0.326970394899536,-0.175104419629057,-0.131585260432767,0.109377465224111,0.183956652498712,0.171300103812468,0.00214730242143225,0.00214542787223081,0.00224343688820196,0.0025299724368882,0.00260991731066461,0.00265361205564142,0.00267098918083462,0.00265333307573416,0.00258380937660999,0.00245241885625966,0.00234470221535291,0.00221850540958269,1.30565434080371,2.02383174523442,0.0163871795466255,0.0105090852653272,0.12506417800103,0.0564428933539413,2.22389563549717,1.11880673132406,0.641033763008758,0.592621787995878,0.550979395414735,0.528947443328181,0.529150733900052,0.518173116177228,0.498401337970118,0.481077820968573,0.462560513395157,0.44033282174137,0.439656101751674,0.00144705280783101,0.00135791473467285,0.00138457805255023,0.00159076326635755,0.00172240211231324,0.00182936527563112,0.00191133642452344,0.00194677820710974,0.00191550051519835,0.00182297964966512,0.0017013485316847,0.00156723879443586,0.1477606249356,0.681495055383823,0.291547594742265,120.963756532073,"Nervous"
